District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce i kozy (sztuki)
NIŻAŃSKI,8721.0,24307.0,10282.0,466.0
PRZEMYSKI,16170.0,39759.0,10899.0,831.0
PRZEWORSKI,7545.0,21708.0,6212.0,461.0
RAWSKI (RAWA RUSKA),19459.0,34726.0,21629.0,5195.0
RUDECKI,14276.0,24180.0,10523.0,100.0
RZESZOWSKI,17162.359764037872,66279.50503057278,20235.565274924564,1000.2934690104737
SAMBORSKI,23161.33333644836,48190.895079288865,11693.410217603196,3236.7200959506777
SANOCKI,14513.0,40396.0,8745.0,2134.0
SOKALSKI,24639.653615707626,29219.345223926124,26788.616359078787,17007.164980086978
TARNOBRZESKI,11849.0,28423.0,14153.0,355.0
ŻÓŁKIEWSKI,18200.999999883912,32581.999999792188,19850.999999873387,668.999999995733
