District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
INOWROCŁAW (MIASTO),20.79,14.3,16.14,15.0,14.83,0.0,19.75,3.91,0.0,6.33,5.94,3.71
SZUBIŃSKI,19.0,13.6,16.58,15.3,14.77,0.0,19.71,4.25,2.28,6.18,5.13,3.76
WYRZYSKI,19.36,14.42,16.25,15.67,13.91,0.0,23.0,3.9,0.0,6.0,4.16,2.64
LIPNOWSKI,22.0,14.42,15.22,14.5,14.7,0.0,21.5,4.0,3.0,7.67,5.5,2.8
NIESZAWSKI,21.85,14.1,16.5,14.61,15.21,20.0,19.17,4.0,0.0,7.71,6.5,3.59
RYPIŃSKI,19.958153112709,13.76322142871467,14.820410727259157,14.603044703259355,14.257235119623308,17.29047918180235,21.400673090162222,3.6062999436330614,2.8356385858155853,6.422177981812301,5.137742385449841,3.8533067890873807
WŁOCŁAWSKI,22.21,14.15,16.09,15.18,16.25,18.0,21.5,3.35,3.0,6.75,4.5,3.63
CHODZIESKI,20.29,13.8,16.5,15.11,13.6,0.0,20.0,4.06,3.0,5.67,4.87,3.4
CZARNKOWSKI,19.83,14.11,16.5,14.5,13.86,0.0,19.0,4.06,2.9,6.63,5.88,3.36
GNIEŹNIEŃSKI,19.072237929928914,14.52794810318712,16.56438300574705,15.040383527366513,14.22598372044622,0.0,20.06571825940719,4.262512703261398,2.699265153670147,5.88759874927563,5.8384392797769396,3.391925291164762
GOSTYŃSKI,22.08532980554198,15.481772358156975,16.92868476361224,16.228404842556415,14.972473439716737,0.0,23.87271989941712,4.311039110510436,2.3381479059674986,7.404712105855964,5.946316427419395,3.1800387432034602
JAROCIŃSKI,18.784337614439842,13.330820242505697,14.915603068537841,13.396076005930547,13.228275471409498,0.0,17.55380036128547,3.337366186585342,2.778031071515173,6.059463746593498,5.854374204401103,3.169565652064291
KĘPIŃSKI,21.35,14.8,18.13,15.2,14.72,0.0,23.0,3.27,2.33,6.25,5.41,3.36
KOŚCIAŃSKI,19.47433009045198,13.943286572547876,15.133632027247728,14.29305399856791,12.776040684900634,0.0,16.10981987059829,3.015567099689443,1.9340709440843817,5.151040396107407,4.0490839619200605,2.4159923362726214
KROTOSZYŃSKI,19.851272223875625,13.439289614944029,14.220661038585844,13.936200896386406,12.995843773727254,0.0,22.641189964096675,4.0140872289741,3.81409820832303,6.846193655391338,5.359043899937066,3.19674829046245
LESZCZYŃSKI,20.746037063812448,14.754664115094284,17.317838412986664,15.488520007160346,14.021704033427797,0.0,21.508549224281282,3.9734177312392083,3.5214216225892363,6.787088624200314,5.264878299324449,3.536777028236545
MIĘDZYCHODZKI,20.0,14.14,14.67,13.25,12.33,0.0,20.43,4.38,0.0,6.0,5.17,3.0
MOGILEŃSKI,20.3,14.1,16.87,15.74,14.21,0.0,18.0,4.14,0.0,6.33,5.79,3.07
NOWOTOMYSKI,19.53,14.15,16.19,15.8,14.76,0.0,20.43,3.72,2.3,6.37,5.68,3.85
OBORNICKI,20.791746810097504,14.722415325569012,17.12422846597353,15.866270074469345,14.620073175281695,0.0,21.21274635938442,3.3949957875920016,0.0,6.1250246629936935,4.85879728255869,3.413345289235942
OSTROWSKI (OSTRÓW WIELKOPOLSKI),20.65213230951369,14.778292223045034,15.973551712754286,15.4387764370346,14.057237606954951,0.0,20.32158868861864,3.781701044460131,3.094939417077857,7.634389535041169,6.250139712632864,3.721285404171298
POZNAŃ (MIASTO),19.88,14.11,15.8,15.25,14.0,0.0,20.0,3.16,0.0,6.0,5.13,3.1
RAWICKI,20.702779609702244,14.88000943339329,16.66219540385292,15.452212653180636,13.983306537126392,0.0,21.62188845725823,4.406045341646977,3.031697650161751,7.314202453768281,5.34320972522973,3.3780336351010076
SZAMOTULSKI,20.33,14.78,17.08,16.47,14.57,0.0,21.17,3.79,3.0,6.33,5.19,3.2
ŚREDZKI,20.05,14.2,15.62,14.77,14.5,0.0,22.5,3.84,3.6,6.43,4.95,2.81
ŚREMSKI,20.063781282662198,14.671865440312816,16.53783357242248,15.536755159183135,13.70511845273674,0.0,20.010443534444295,3.840776256894364,2.6975931802810726,6.432909483042027,5.002953769135331,3.001558910488327
WĄGROWIECKI,20.371027749475573,14.40073116044938,17.070805142417473,15.690761854371335,14.890636917560808,0.0,20.001168345793186,3.6701162749322256,0.0,6.000302130761378,4.710245234810444,3.5001460098337764
WOLSZTYŃSKI,18.8,13.95,15.18,13.64,12.8,0.0,21.0,3.77,3.6,6.12,4.96,3.9
WRZESIŃSKI,20.05,14.3,15.69,14.87,14.67,0.0,18.67,3.88,0.0,6.6,3.75,2.85
ŻNIŃSKI,20.06,14.28,16.92,15.13,13.94,0.0,20.5,3.9,2.54,7.33,6.17,3.06
